agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id,GEOID
0,2020-08-25T03:48:41.202Z,1.0,1,,2019-08-23T00:00:00.000Z,0,,,,B,0,2.0,,,2.0,0,,1.0,1976-01-01T00:00:00.000Z,2018-08-31T00:00:00.000Z,,,,0,R,0,250000.0,100000.0,2019,1,,F,0.0,,4.0,N,,F,0.0,,0.0,,,,,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",8.0,8.0,0.0,,,A,0,,AE,1.0,0,NE,Currently Unavailable,68901.0,31001.0,31001965900.0,310019659004.0,40.6,-98.4,308142fe-6e63-4656-a0b9-f1f2b918fcbc,3131001310019659003
0,2020-04-20T17:12:00.501Z,0.0,1,,2019-06-20T00:00:00.000Z,0,,,,X,0,3.0,,,1.0,0,,3.0,1976-01-01T00:00:00.000Z,2016-10-14T00:00:00.000Z,,,,0,7,1,50000.0,8000.0,2019,0,,1,0.0,,0.0,N,,1,0.0,,0.0,,,,0.0,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",,,0.0,,,,0,0.0,X,8.0,0,NE,Currently Unavailable,68901.0,31001.0,31001966000.0,310019660004.0,40.6,-98.4,b2b763fe-bc1c-439e-99e3-6ac5b035acf4,3131001310019660003
0,2020-01-22T16:55:53.194Z,0.0,1,,2017-05-10T00:00:00.000Z,0,,,,X,0,3.0,,,1.0,0,,3.0,1962-01-01T00:00:00.000Z,2016-10-14T00:00:00.000Z,139450.62,28881.01,0.0,0,7,1,150000.0,50000.0,2017,0,140701.0,F,139450.62,502584.0,0.0,N,30131.0,F,28881.01,100000.0,0.0,,,,0.0,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",,,0.0,1168800.0,0.0,A,0,1.0,X,8.0,0,NE,Currently Unavailable,68901.0,31001.0,31001966000.0,310019660004.0,40.6,-98.4,a00ea92c-c923-49d6-867b-cbac2c658a37,3131001310019660003
0,2020-01-22T16:55:53.194Z,1.0,1,,2015-06-05T00:00:00.000Z,0,,,,A02,0,2.0,,,2.0,0,,1.0,1968-01-01T00:00:00.000Z,2014-06-27T00:00:00.000Z,981.67,0.0,0.0,0,1,0,94500.0,5000.0,2015,1,2982.0,2,981.67,155114.0,0.0,N,1140.0,2,0.0,0.0,0.0,,,,0.0,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",1.0,,1.0,188448.0,0.0,A,0,1.0,A02,1.0,0,NE,Currently Unavailable,68901.0,31001.0,31001965500.0,310019655003.0,40.6,-98.4,883c93b7-da1e-47f8-82b2-19de05531c7c,3131001310019655003
0,2020-04-20T17:13:05.774Z,0.0,1,,2019-06-20T00:00:00.000Z,0,,,,X,0,3.0,,,1.0,0,,3.0,1962-01-01T00:00:00.000Z,2016-10-14T00:00:00.000Z,24546.56,0.0,0.0,0,7,1,50000.0,8000.0,2019,0,,1,24546.56,,0.0,N,,1,0.0,,0.0,,,,0.0,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",,,0.0,,,,0,0.0,X,8.0,0,NE,Currently Unavailable,68901.0,31001.0,31001966000.0,310019660004.0,40.6,-98.4,16f3af82-2574-43a8-bbfd-8f6e076977cf,3131001310019660003
0,2020-01-22T16:55:53.194Z,0.0,1,,2017-05-10T00:00:00.000Z,0,,,,X,0,3.0,,,1.0,0,,3.0,1976-01-01T00:00:00.000Z,2016-10-14T00:00:00.000Z,47056.0,11161.68,0.0,0,7,1,150000.0,50000.0,2017,0,48306.0,F,47056.0,268824.0,0.0,N,12412.0,F,11161.68,75000.0,0.0,,,,0.0,0,,30000.0,0.0,310001.0,310001.0,"HASTINGS, CITY OF",,,0.0,389600.0,0.0,A,0,1.0,X,8.0,0,NE,Currently Unavailable,68901.0,31001.0,31001966000.0,310019660004.0,40.6,-98.4,5dea96e3-d44f-428e-a61b-2d11b6fdb383,3131001310019660003
0,2024-03-21T18:33:23.523Z,1.0,1,,2019-03-13T00:00:00.000Z,0,,,,X,0,2.0,,,2.0,0,,1.0,1900-07-01T00:00:00.000Z,2006-03-17T00:00:00.000Z,8898.55,134.82,0.0,0,7,0,250000.0,100000.0,2019,1,7169.0,F,8898.55,216976.0,2.0,N,1385.0,F,134.82,71209.0,,,377.0,,0.0,0,March 2019 Midwest Flooding,30000.0,0.0,310008.0,310008.0,BOONE COUNTY*,,,1.0,268443.0,0.0,R,0,0.0,X,1.0,0,NE,Currently Unavailable,68620.0,31011.0,31011960200.0,310119602001.0,41.7,-98.0,68829cf6-50ae-4b0d-a88d-2af712343701,3131011310119602003
0,2024-02-15T14:49:18.517Z,2.0,1,,2019-03-13T00:00:00.000Z,0,,,,A,0,2.0,,,2.0,0,,1.0,1901-06-01T00:00:00.000Z,2018-06-29T00:00:00.000Z,,,,0,1,0,95000.0,25000.0,2019,1,3402.0,A,0.0,16654.0,4.0,N,,A,0.0,,0.0,,377.0,,0.0,0,March 2019 Midwest Flooding,30000.0,0.0,310008.0,310008.0,BOONE COUNTY*,20.0,1.0,1.0,166542.0,,A,0,2.0,A,1.0,0,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,c4376b5f-b938-4448-a09d-0da1d448cbad,3131011310119601003
0,2020-12-30T18:41:58.289Z,0.0,1,,2019-03-14T00:00:00.000Z,0,,,,A,0,,,,1.0,0,,6.0,1960-10-01T00:00:00.000Z,2015-01-15T00:00:00.000Z,47257.5,0.0,0.0,0,1,0,96000.0,0.0,2019,0,52257.0,5,47257.5,986350.0,4.0,N,,5,0.0,,0.0,,377.0,,0.0,0,March 2019 Midwest Flooding,30000.0,0.0,310010.0,310010.0,"ST. EDWARD, CITY OF",,,0.0,1107877.0,,A,0,1.0,A,8.0,0,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,9067bdad-fdf5-4d57-8643-e558efec4ca5,3131011310119601003
0,2023-10-06T13:20:17.480Z,0.0,1,,2019-03-13T00:00:00.000Z,0,,,,A,0,3.0,,,1.0,0,,4.0,1985-05-15T00:00:00.000Z,2013-09-01T00:00:00.000Z,44495.61,10500.0,0.0,0,1,0,78000.0,10500.0,2019,0,49495.0,5,44495.61,259626.0,2.0,N,18169.0,5,10500.0,45000.0,0.0,,377.0,,0.0,0,March 2019 Midwest Flooding,30000.0,0.0,310010.0,310010.0,"ST. EDWARD, CITY OF",,,1.0,324533.0,0.0,A,0,1.0,A,8.0,0,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,656c8810-3268-46dd-9905-cec54179f6e0,3131011310119601003
0,2023-11-03T14:10:38.923Z,2.0,1,,2019-03-13T00:00:00.000Z,0,4,-4.0,,A,0,,0.0,-4.0,3.0,0,,1.0,2004-02-27T00:00:00.000Z,2013-11-13T00:00:00.000Z,4234.22,0.0,0.0,1,2,0,84000.0,0.0,2019,1,8024.0,5,4234.22,247860.0,2.0,N,,0,0.0,,,,377.0,,0.0,0,March 2019 Midwest Flooding,30000.0,0.0,310010.0,310010.0,"ST. EDWARD, CITY OF",,,1.0,328555.0,,A,0,3.0,A,1.0,0,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,01b8c075-5f8f-4dd0-b90d-9714f566af81,3131011310119601003
0,2024-02-12T23:14:27.714Z,2.0,1,,2019-03-13T00:00:00.000Z,0,,,,A,0,2.0,,,2.0,0,,2.0,1977-06-15T00:00:00.000Z,2015-03-06T00:00:00.000Z,,,,0,1,0,69300.0,26300.0,2019,0,0.0,5,0.0,0.0,4.0,N,0.0,5,0.0,0.0,0.0,,377.0,,,0,March 2019 Midwest Flooding,30000.0,0.0,310010.0,310010.0,"ST. EDWARD, CITY OF",99.0,99.0,3.0,0.0,0.0,A,0,-8.0,A,1.0,1,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,43332364-f95e-4db3-8e37-e26394868715,3131011310119601003
0,2024-02-12T23:14:27.714Z,2.0,1,,2022-05-03T00:00:00.000Z,0,,,,A,0,2.0,,,2.0,0,,2.0,1977-06-15T00:00:00.000Z,2015-03-06T00:00:00.000Z,-12226.26,0.0,0.0,0,1,0,214500.0,30500.0,2022,0,11113.0,5,-12226.26,182619.0,4.0,N,0.0,5,0.0,0.0,0.0,,,,,0,,30000.0,0.0,310010.0,310010.0,"ST. EDWARD, CITY OF",97.0,,3.0,207677.0,0.0,A,0,-8.0,A,1.0,1,NE,Currently Unavailable,68660.0,31011.0,31011960100.0,310119601005.0,41.6,-97.9,b372a32a-4282-4562-99bb-f7fc85b98ad3,3131011310119601003
0,2023-07-24T15:49:45.638Z,0.0,1,,2023-06-25T00:00:00.000Z,0,,,,A,0,3.0,,,1.0,0,,11.0,1960-01-01T00:00:00.000Z,2019-07-02T00:00:00.000Z,0.0,0.0,0.0,0,RatingEngine,0,44000.0,10000.0,2023,1,1704.0,2,0.0,84833.0,4.0,N,,1,0.0,,2.0,,,,,0,,30000.0,0.0,310013.0,310013.0,"LYNCH, VILLAGE OF",20.0,1.0,1.0,115847.0,,A,0,0.0,A,1.0,0,NE,Currently Unavailable,68746.0,31015.0,31015975800.0,310159758001.0,42.8,-98.5,9d783269-c214-4e57-a8ca-022a793bc39a,3131015310159758003
0,2023-08-03T20:36:24.497Z,2.0,1,,2023-06-24T00:00:00.000Z,0,,,,A,0,,,,1.0,0,,13.0,1940-01-01T00:00:00.000Z,2021-04-21T00:00:00.000Z,19623.65,0.0,0.0,0,RatingEngine,0,90000.0,0.0,2023,0,21624.0,2,19623.65,244193.0,4.0,N,,,0.0,,,,,,,0,,30000.0,0.0,310013.0,310013.0,"LYNCH, VILLAGE OF",,,5.0,312107.0,,A,0,,A,8.0,1,NE,Currently Unavailable,68746.0,31015.0,31015975800.0,310159758001.0,42.8,-98.5,7895aeba-cbeb-4c9a-a4d8-f60761fe38f1,3131015310159758003
